Page,Enrollment Number,Image,Predicted Answers,Correctness,Answer Key,Total Score
1,202439001,test_2_page_044.jpg,c,❌,e,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,C,✅,c,33
1,202439001,test_2_page_044.jpg,C,✅,c,33
1,202439001,test_2_page_044.jpg,d,❌,e,33
1,202439001,test_2_page_044.jpg,c,❌,e,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,d,❌,e,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,c,❌,e,33
1,202439001,test_2_page_044.jpg,a,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,C,✅,c,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,C,✅,c,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,c,❌,b,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,a,❌,d,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,a,❌,e,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,c,❌,b,33
1,202439001,test_2_page_044.jpg,a,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,c,❌,e,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,c,❌,b,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,c,❌,e,33
1,202439001,test_2_page_044.jpg,d,❌,b,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,c,❌,b,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,a,❌,b,33
1,202439001,test_2_page_044.jpg,c,❌,b,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,a,❌,e,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,a,❌,b,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,a,❌,b,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,C,✅,c,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,c,❌,b,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,D,✅,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,b,❌,a,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,c,❌,b,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,b,❌,c,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
1,202439001,test_2_page_044.jpg,a,❌,b,33
1,202439001,test_2_page_044.jpg,C,✅,c,33
1,202439001,test_2_page_044.jpg,a,❌,b,33
1,202439001,test_2_page_044.jpg,c,❌,a,33
1,202439001,test_2_page_044.jpg,B,✅,b,33
1,202439001,test_2_page_044.jpg,c,❌,b,33
1,202439001,test_2_page_044.jpg,c,❌,d,33
1,202439001,test_2_page_044.jpg,e,❌,b,33
1,202439001,test_2_page_044.jpg,b,❌,e,33
1,202439001,test_2_page_044.jpg,b,❌,a,33
1,202439001,test_2_page_044.jpg,D,✅,d,33
1,202439001,test_2_page_044.jpg,b,❌,d,33
