epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.92767,4.69278,14.7532,2.32394,0,0,0,0,0,59.4071,0,0,0,0
2,8.99828,4.37039,39.8829,2.35945,0,0,0,0,0,59.4211,0,1.089e-05,1.089e-05,1.089e-05
3,12.9534,3.88887,18.2642,1.59595,0,0,0,0,0,59.4364,0,2.13401e-05,2.13401e-05,2.13401e-05
4,16.8201,4.65547,15.6656,2.1229,0,0,0,0,0,59.4508,0,3.13502e-05,3.13502e-05,3.13502e-05
5,20.7184,4.18402,22.4846,1.37532,0,0,0,0,0,59.4649,0,4.09204e-05,4.09204e-05,4.09204e-05
6,24.6183,3.98995,26.7269,1.53167,0,0,0,0,0,59.4769,0,5.00506e-05,5.00506e-05,5.00506e-05
7,28.4657,3.29551,19.4943,1.34211,0,0,0,0,0,59.4891,0,5.87408e-05,5.87408e-05,5.87408e-05
8,32.4808,3.34546,12.207,1.29219,0,0,0,0,0,59.5015,0,6.69911e-05,6.69911e-05,6.69911e-05
9,36.4331,4.40547,16.4272,1.6864,0,0,0,0,0,59.5119,0,7.48014e-05,7.48014e-05,7.48014e-05
10,40.8937,3.96816,13.3131,1.68421,0,0,0,0,0,59.5171,0,8.21718e-05,8.21718e-05,8.21718e-05
11,45.2166,3.39819,8.62423,1.2874,0,0,0,0,0,59.5221,0,8.91022e-05,8.91022e-05,8.91022e-05
12,49.323,3.08466,7.10503,1.27671,0,0,0,0,0,59.5337,0,9.55927e-05,9.55927e-05,9.55927e-05
13,53.2874,3.24822,13.239,1.35612,0,0,0,0,0,59.5462,0,0.000101643,0.000101643,0.000101643
14,57.2541,3.06828,8.36604,1.14486,0,0,0,0,0,59.5628,0,0.000107254,0.000107254,0.000107254
15,61.211,3.80854,7.55253,1.2802,0,0,0,0,0,59.5799,0,0.000112424,0.000112424,0.000112424
16,65.0439,3.17727,7.05249,1.15151,0,0,0,0,0,59.5986,0,0.000117155,0.000117155,0.000117155
17,68.9754,2.95475,6.78224,1.1317,0,0,0,0,0,59.6229,0,0.000121446,0.000121446,0.000121446
18,72.8788,3.00283,11.3871,1.18762,0,0,0,0,0,59.6229,0,0.000125296,0.000125296,0.000125296
19,76.7409,3.27606,8.24599,1.44597,0,0,0,0,0,59.6624,0,0.000128707,0.000128707,0.000128707
20,80.5539,3.29711,8.05909,1.32036,0,0,0,0,0,59.6624,0,0.000131678,0.000131678,0.000131678
21,84.5857,2.83631,7.5455,1.05336,0,0,0,0,0,59.6902,0,0.000134209,0.000134209,0.000134209
22,88.3883,2.68117,5.26973,1.00023,0,0,0,0,0,59.6902,0,0.0001363,0.0001363,0.0001363
23,92.3595,2.51188,5.78471,0.95796,0,0,0,0,0,59.7251,0,0.000137951,0.000137951,0.000137951
24,96.039,2.68571,7.5266,1.08456,0,0,0,0,0,59.7251,0,0.000139162,0.000139162,0.000139162
25,99.8362,3.14552,6.30626,1.26117,0,0,0,0,0,59.7866,0,0.000139933,0.000139933,0.000139933
26,103.676,3.22671,6.32401,1.16624,0,0,0,0,0,59.7866,0,0.000140264,0.000140264,0.000140264
27,107.766,3.2676,7.95801,1.17197,0,0,0,0,0,59.8857,0,0.000140155,0.000140155,0.000140155
28,111.711,3.8358,10.9527,1.22703,0,0,0,0,0,59.8857,0,0.000139606,0.000139606,0.000139606
29,115.562,3.07632,6.91107,1.15154,0,0,0,0,0,60.0002,0,0.000138617,0.000138617,0.000138617
