epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.44092,5.36986,5.21841,3.20537,0,0,0,0,4.39283,5.03448,2.29128,3e-05,3e-05,3e-05
2,14.1471,5.01682,5.10639,2.94363,0,0,0,0,4.16961,5.02199,2.19566,6.17825e-05,6.17825e-05,6.17825e-05
3,20.6829,4.86129,5.12266,2.71944,0,0,0,0,3.68248,5.00091,1.99988,9.01e-05,9.01e-05,9.01e-05
4,27.4368,4.5039,5.05768,2.33149,0,0,0,0,3.37166,4.98815,1.89325,0.000114953,0.000114953,0.000114953
5,35.8507,4.3057,5.04386,2.20842,0,0,0,0,2.86701,4.95513,1.72141,0.00013634,0.00013634,0.00013634
6,42.7217,3.71772,4.98866,2.07856,0,0,0,0,2.86049,4.93353,1.71255,0.000154262,0.000154262,0.000154262
7,49.6056,3.41694,4.89241,1.88555,0,0,0,0,2.86049,4.93353,1.71255,0.00016872,0.00016872,0.00016872
8,56.5733,3.41309,4.87702,1.79717,0,0,0,0,2.88752,4.89845,1.70344,0.000179713,0.000179713,0.000179713
9,63.6522,3.4019,4.86242,1.79966,0,0,0,0,2.85031,4.84445,1.66364,0.00018724,0.00018724,0.00018724
10,70.7682,3.43637,4.88249,1.74827,0,0,0,0,2.85031,4.84445,1.66364,0.000191302,0.000191302,0.000191302
11,76.7734,2.88938,4.91682,1.83866,0,0,0,0,2.67587,4.77784,1.58198,0.0001919,0.0001919,0.0001919
12,82.6291,2.85801,4.99866,1.68437,0,0,0,0,2.67587,4.77784,1.58198,0.000189032,0.000189032,0.000189032
13,88.8108,2.55412,4.72444,1.67551,0,0,0,0,2.44632,4.72641,1.50326,0.0001827,0.0001827,0.0001827
14,94.6933,2.57298,4.79286,1.66639,0,0,0,0,2.44632,4.72641,1.50326,0.000172902,0.000172902,0.000172902
15,100.872,2.66021,4.6932,1.54813,0,0,0,0,2.26305,4.66134,1.4317,0.0001535,0.0001535,0.0001535
16,106.913,2.36398,4.65022,1.50699,0,0,0,0,2.26305,4.66134,1.4317,0.00012875,0.00012875,0.00012875
17,113.135,2.50131,4.76153,1.64828,0.00185,0.00083,0.00102,0.0002,2.15856,4.60413,1.4001,0.000104,0.000104,0.000104
18,119.236,2.51488,4.75576,1.50245,0.00185,0.00083,0.00102,0.0002,2.15856,4.60413,1.4001,7.925e-05,7.925e-05,7.925e-05
19,125.242,2.65313,4.66824,1.6219,0.00185,0.00083,0.00102,0.0002,2.15856,4.60413,1.4001,5.45e-05,5.45e-05,5.45e-05
20,131.321,2.45362,4.59187,1.49015,0.00272,0.00167,0.00163,0.00041,2.12073,4.57327,1.39558,2.975e-05,2.975e-05,2.975e-05
